City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Paita,-5.09,-81.11,69.62,67,27,13.29,PE,1596389574
Salamanca,40.83,-6.0,88.0,33,81,10.87,ES,1596389574
Strezhevoy,60.73,77.59,64.4,82,53,2.24,RU,1596389574
Bubaque,11.28,-15.83,81.05,82,89,16.22,GW,1596389575
Huilong,31.81,121.66,86.0,75,99,1.01,CN,1596389329
Guarapari,-20.67,-40.5,75.99,72,9,10.0,BR,1596389575
Comodoro Rivadavia,-45.87,-67.5,57.2,44,46,17.22,AR,1596389401
Anchorage,61.22,-149.9,57.99,87,90,2.66,US,1596389389
Kiama,-34.68,150.87,48.0,79,32,5.82,AU,1596389576
Belyy Yar,53.6,91.39,60.8,87,64,4.47,RU,1596389576
Artyom,40.47,50.33,77.0,88,40,16.11,AZ,1596389577
Lucapa,-8.42,20.74,76.77,27,100,4.74,AO,1596389577
Qasigiannguit,68.82,-51.19,44.11,74,15,4.61,GL,1596389577
Vostok,46.49,135.88,63.23,99,95,2.91,RU,1596389577
Ladovskaya Balka,45.63,41.4,68.29,51,19,6.13,RU,1596389578
Calvià,39.57,2.51,89.6,40,0,11.41,ES,1596389578
Vestmannaeyjar,63.44,-20.27,51.8,87,75,20.8,IS,1596389578
Souillac,-20.52,57.52,71.6,68,75,16.11,MU,1596389578
Nantucket,41.28,-70.1,77.0,73,1,14.99,US,1596389579
Nouadhibou,20.93,-17.03,75.2,83,0,24.16,MR,1596389579
Pontianak,-0.03,109.33,77.52,92,97,3.42,ID,1596389579
Olafsvik,64.89,-23.71,47.19,87,63,19.64,IS,1596389580
Yatou,37.15,122.38,74.8,95,53,10.13,CN,1596389580
Tayshet,55.93,98.0,56.01,97,100,5.35,RU,1596389580
Valparaíso,-33.04,-71.63,62.6,59,96,3.36,CL,1596389412
Terra Santa,-2.1,-56.49,95.49,33,28,4.12,BR,1596389581
Wagar,16.15,36.2,88.3,50,86,7.9,SD,1596389581
Diamantino,-14.41,-56.45,94.62,20,0,7.02,BR,1596389582
Malbork,54.04,19.03,80.01,100,47,8.52,PL,1596389582
Cap Malheureux,-19.98,57.61,70.0,71,21,5.01,MU,1596389582
Bilibino,68.05,166.44,44.89,75,93,2.44,RU,1596389582
Alliance,40.92,-81.11,72.0,91,97,8.01,US,1596389392
Carauari,-4.88,-66.9,95.81,27,2,3.38,BR,1596389583
Tagusao,9.19,117.81,80.42,80,100,5.12,PH,1596389583
Dudinka,69.41,86.18,64.4,59,99,6.71,RU,1596389583
Liberal,37.04,-100.92,71.6,83,75,11.41,US,1596389556
Houston,29.76,-95.36,93.0,55,1,5.84,US,1596389180
Lorengau,-2.02,147.27,81.57,80,39,12.55,PG,1596389584
Nichinan,31.6,131.37,75.88,85,27,4.79,JP,1596389584
Berlevåg,70.86,29.09,50.0,87,75,9.17,NO,1596389585
Tutubigan,11.84,125.06,75.74,89,86,2.17,PH,1596389585
Greenwood,34.17,-82.12,91.0,62,20,5.82,US,1596389585
Urusha,54.05,122.9,58.82,82,95,8.5,RU,1596389586
Krabi,8.07,98.91,75.2,100,75,4.7,TH,1596389586
São Gabriel da Cachoeira,-0.13,-67.09,89.6,62,40,4.7,BR,1596389586
Nosy Varika,-20.58,48.53,67.08,71,97,7.14,MG,1596389586
Dunedin,-45.87,170.5,48.99,89,70,3.65,NZ,1596389587
Clyde River,70.47,-68.59,57.2,62,1,2.24,CA,1596389587
Slantsy,59.12,28.09,58.93,86,58,2.26,RU,1596389587
Orán,-23.13,-64.33,84.99,34,0,3.02,AR,1596389588
Owando,-0.48,15.9,78.44,70,94,3.22,CG,1596389588
Chara,56.91,118.26,56.16,88,100,2.95,RU,1596389588
Yar-Sale,66.83,70.83,60.93,70,94,8.9,RU,1596389588
Mandera,3.94,41.87,81.28,50,81,13.15,KE,1596389589
Pyshma,56.95,63.25,73.63,59,70,10.87,RU,1596389589
Port Moresby,-9.44,147.18,71.87,87,25,9.8,PG,1596389589
Tomatlán,19.93,-105.25,90.59,51,71,0.83,MX,1596389589
Cabadiangan,9.75,122.47,77.79,84,100,2.73,PH,1596389590
Naze,28.37,129.48,77.0,88,40,2.24,JP,1596389590
Ojinaga,29.57,-104.42,91.4,29,1,6.93,MX,1596389590
Bahile,10.0,118.79,78.98,83,99,3.31,PH,1596389590
Laas,46.62,10.7,70.0,68,40,5.82,IT,1596389591
Erbil,36.19,44.01,93.2,15,0,5.82,IQ,1596389434
Boralday,43.36,76.86,68.0,64,75,6.71,KZ,1596389591
Broken Hill,-31.95,141.43,48.2,36,100,2.24,AU,1596389591
Kudat,6.88,116.85,82.4,83,20,2.24,MY,1596389592
Husavik,66.04,-17.34,53.6,81,90,10.29,IS,1596389592
Hambantota,6.12,81.12,80.19,78,83,16.62,LK,1596389592
Sisimiut,66.94,-53.67,52.9,66,33,13.49,GL,1596389592
General Roca,-39.03,-67.58,60.8,41,100,8.05,AR,1596389593
Manavālakurichi,8.13,77.3,80.6,88,90,3.36,IN,1596389593
Volkhov,59.93,32.34,61.0,81,56,0.78,RU,1596389593
Bowen,-20.02,148.23,64.99,93,1,6.93,AU,1596389593
Kavieng,-2.57,150.8,82.22,77,55,6.33,PG,1596389594
Orange Cove,36.62,-119.31,90.0,42,1,4.27,US,1596389594
Damietta,31.42,31.81,84.2,54,0,6.93,EG,1596389594
Aklavik,68.22,-135.01,51.8,93,90,5.82,CA,1596389594
Hamilton,39.18,-84.53,75.99,64,75,8.05,US,1596389434
Simdega,22.62,84.52,81.32,76,97,1.88,IN,1596389595
Faya,18.39,42.45,66.2,93,75,11.41,SA,1596389595
Pospelikha,51.95,81.77,67.12,64,74,14.83,RU,1596389595
Verāval,20.9,70.37,85.12,81,78,8.39,IN,1596389596
Antofagasta,-23.65,-70.4,59.0,67,20,11.41,CL,1596389596
Svecha,58.28,47.52,52.34,94,99,6.49,RU,1596389596
Hare Bay,48.85,-54.01,62.6,82,90,10.29,CA,1596389597
Puerto Escondido,15.85,-97.07,89.6,66,75,6.93,MX,1596389597
Makurdi,7.74,8.51,76.05,87,62,5.77,NG,1596389597
Raton,36.9,-104.44,81.0,35,1,5.82,US,1596389598
Krutinka,56.01,71.51,70.41,61,37,4.23,RU,1596389598
Porteirinha,-15.74,-43.03,79.45,37,0,14.07,BR,1596389599
Hay River,60.82,-115.8,82.4,58,40,11.41,CA,1596389487
Adrar,20.5,-10.07,108.45,7,0,7.87,MR,1596389599
Venado Tuerto,-33.75,-61.97,73.99,56,17,11.01,AR,1596389451
Whitehorse,60.72,-135.05,59.0,58,75,14.99,CA,1596389510
Pangai,-19.8,-174.35,75.2,83,75,8.05,TO,1596389600
Aksu,41.12,80.26,81.41,27,32,12.12,CN,1596389600
Southampton,50.9,-1.4,68.0,64,40,12.75,GB,1596389601
Kloulklubed,7.04,134.26,83.98,77,81,8.55,PW,1596389601
Río Gallegos,-51.62,-69.22,42.8,60,11,16.11,AR,1596389601
Morehead,37.27,-87.18,80.01,65,75,3.36,US,1596389601
Fraga,41.52,0.35,88.0,35,32,13.87,ES,1596389602
Westport,41.14,-73.36,80.6,78,90,13.87,US,1596389602
Kimbe,-5.55,150.14,76.78,83,19,5.39,PG,1596389602
El Alto,-4.27,-81.21,71.62,63,8,15.35,PE,1596389603
Maroantsetra,-15.43,49.73,69.69,86,95,15.75,MG,1596389603
Aracruz,-19.82,-40.27,75.99,69,20,12.75,BR,1596389603
Assiut,27.18,31.18,98.6,19,0,13.87,EG,1596389604
Manapparai,10.6,78.42,84.2,66,75,10.29,IN,1596389604
Vuktyl,63.86,57.31,60.71,92,100,9.4,RU,1596389604
Esna,25.29,32.55,102.2,21,66,11.99,EG,1596389605
Aitape,-3.14,142.35,77.04,85,31,3.29,PG,1596389605
Atbasar,51.8,68.33,72.79,53,0,7.76,KZ,1596389605
West Bay,19.37,-81.42,89.01,74,20,11.41,KY,1596389606
Sistranda,63.73,8.83,60.8,87,75,5.82,NO,1596389606
Ossora,59.24,163.07,52.86,72,35,4.97,RU,1596389607
Le Port,-20.94,55.29,68.0,64,75,14.99,RE,1596389607
Pacific Grove,36.62,-121.92,62.6,77,90,5.82,US,1596389607
Melfi,41.0,15.65,84.2,45,75,10.29,IT,1596389607
Tayu,-6.54,111.05,75.56,76,57,9.84,ID,1596389608
Carutapera,-1.2,-46.02,85.08,64,23,8.16,BR,1596389608
Bollnäs,61.35,16.39,72.0,68,81,1.01,SE,1596389608
Arys,42.43,68.8,82.4,30,1,8.95,KZ,1596389609
Darhan,49.49,105.92,57.61,92,99,4.97,MN,1596389609
Vanavara,60.34,102.28,57.87,74,84,4.18,RU,1596389610
Tonj,7.27,28.68,71.69,96,100,2.91,SS,1596389610
Oruzgan,32.83,66.0,65.25,23,0,3.11,AF,1596389610
Tsarychanka,48.94,34.48,61.79,72,26,7.11,UA,1596389610
Atherton,53.52,-2.49,66.0,51,35,4.0,GB,1596389611
Pacifica,37.61,-122.49,64.0,72,40,12.75,US,1596389611
Santo Domingo,18.5,-69.99,90.0,62,40,6.93,DO,1596389325
Isabela,6.71,121.97,80.4,82,98,3.76,PH,1596389611
Kharan,28.58,65.42,95.58,12,38,8.21,PK,1596389612
Narón,43.52,-8.15,68.0,71,99,8.99,ES,1596389612
Oodweyne,9.41,45.06,76.24,44,91,16.35,SO,1596389612
Tashla,51.77,52.74,65.35,80,33,1.28,RU,1596389613
Sokol,59.46,40.12,52.27,91,32,4.23,RU,1596389613
Juradó,7.11,-77.76,85.1,74,39,5.7,CO,1596389613
Mankono,8.06,-6.19,76.28,82,89,5.08,CI,1596389614
Saurimo,-9.66,20.39,86.0,28,96,5.14,AO,1596389614
Mora,11.05,14.14,73.4,94,40,3.36,CM,1596389614
Masuguru,-11.37,38.42,72.43,62,44,3.24,TZ,1596389615
Fare,-16.7,-151.02,78.75,78,77,12.24,PF,1596389615
Vryburg,-26.96,24.73,53.01,46,0,4.27,ZA,1596389615
Linxia Chengguanzhen,35.6,103.21,63.95,65,33,0.78,CN,1596389615
Killybegs,54.63,-8.45,59.0,77,20,11.41,IE,1596389616
Jutaí,-5.18,-68.9,93.54,32,3,3.58,BR,1596389616
Honiara,-9.43,159.95,75.2,94,20,3.36,SB,1596389616
Katsuura,35.13,140.3,75.2,94,20,6.93,JP,1596389617
Pennāthur,12.25,79.23,80.78,70,100,8.46,IN,1596389617
Port-Gentil,-0.72,8.78,78.8,74,75,13.89,GA,1596389617
Mobaye,4.32,21.18,74.01,92,87,3.33,CF,1596389617
Soyo,-6.13,12.37,72.91,83,89,7.31,AO,1596389618
Hofn,64.25,-15.21,53.6,87,90,8.05,IS,1596389618
